tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
0.1.99e,168.08588957055215,23.392638036809817,4.742331288343558,27398,3813,773
0.2.70,195.9152542372881,23.58050847457627,5.1991525423728815,46236,5565,1227
0.2.72,198.13389121338912,24.13807531380753,5.242677824267783,47354,5769,1253
0.2.73,198.81893004115227,24.300411522633745,5.255144032921811,48313,5905,1277
0.2.81,196.1107382550336,22.14093959731544,4.761744966442953,58441,6598,1419
0.2.83,197.3465346534653,22.541254125412543,4.798679867986799,59796,6830,1454
0.2.91,206.111821086262,22.89776357827476,5.105431309904153,64513,7167,1598
0.2.92,206.39306358381504,24.38150289017341,5.23121387283237,71412,8436,1810
0.3.0,192.39943342776203,22.20113314447592,5.260623229461756,67917,7837,1857
0.3.1,193.0113314447592,22.257790368271955,5.252124645892351,68133,7857,1854
0.4.0,198.9612188365651,23.71191135734072,5.393351800554017,71825,8560,1947
0.4.1,199.67127071823205,23.84530386740332,5.406077348066298,72281,8632,1957
0.4.2,199.67127071823205,23.84530386740332,5.406077348066298,72281,8632,1957
0.4.3,199.5879120879121,23.892857142857142,5.461538461538462,72650,8697,1988
0.4.4,199.5879120879121,23.892857142857142,5.461538461538462,72650,8697,1988
0.4.5,199.6790450928382,24.135278514588855,5.514588859416445,75279,9099,2079
0.4.6.1,207.9946949602122,25.73740053050398,5.827586206896552,78414,9703,2197
0.4.6,199.8116710875332,24.156498673740053,5.517241379310345,75329,9107,2080
0.5.0,224.97175141242937,30.24105461393597,5.854990583804143,119460,16058,3109
0.5.1,226.37078651685397,30.55805243445693,5.911985018726591,120882,16318,3157
0.5.2,234.4744525547445,31.12773722627737,5.91970802919708,128492,17058,3244
0.5.3,229.57910906298,31.019969278033795,5.978494623655914,149456,20194,3892
0.6.0,233.6761768901569,32.490727532097004,6.125534950071327,163807,22776,4294
0.6.1,241.5788712011577,33.85672937771346,6.151953690303907,166931,23395,4251
0.6.2,244.4920174165457,34.619738751814225,6.1756168359941945,168455,23853,4255
0.7.0,259.07462686567163,38.8910447761194,6.632835820895522,173580,26057,4444
0.7.1,226.17795637198623,34.36165327210103,6.283582089552239,197001,29929,5473
0.7.2,231.55701754385964,35.71052631578947,6.470394736842105,211180,32568,5901
0.8.0,245.83792723263505,38.51267916207277,6.693495038588754,222975,34931,6071
0.8.1,246.1815181518152,38.605060506050606,6.701870187018702,223779,35092,6092
0.8.2,262.3302845528455,42.011178861788615,7.389227642276423,258133,41339,7271
0.8.4,273.2224409448819,45.02657480314961,7.905511811023622,277594,45747,8032
0.9.0,191.79247977153736,31.379343169919085,5.92574964302713,402956,65928,12450
3.0.0-1,234.96525821596245,41.92112676056338,8.248356807511737,500476,89292,17569
3.0.0.1,234.96525821596245,41.92112676056338,8.248356807511737,500476,89292,17569
3.0.0-2,234.9647887323944,41.92159624413146,8.248356807511737,500475,89293,17569
3.0.0,234.962441314554,41.92065727699531,8.248356807511737,500470,89291,17569
3.0.10,236.67407407407407,42.39861111111111,8.32824074074074,511216,91581,17989
3.0.11.1,236.63522884882107,42.39019879796579,8.32778548312529,511842,91690,18013
3.0.11,236.5004625346901,42.369565217391305,8.321924144310824,511314,91603,17992
3.0.12-1,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.12.1,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.12,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.13,236.4057904411765,42.3561580882353,8.320772058823529,514419,92167,18106
3.0.14,236.41452205882356,42.35753676470589,8.321691176470589,514438,92170,18108
3.0.15,236.4034926470588,42.35707720588236,8.321691176470589,514414,92169,18108
3.0.16,236.30225080385853,42.33670188332568,8.317868626550299,514430,92167,18108
3.0.17-1,235.89581437670608,42.22975432211101,8.319836214740674,518499,92821,18287
3.0.17.2,235.91992720655145,42.23657870791629,8.320291173794358,518552,92836,18288
3.0.17.3,235.92174704276616,42.23657870791629,8.320291173794358,518556,92836,18288
3.0.17.4,235.92174704276616,42.23657870791629,8.320291173794358,518556,92836,18288
3.0.17,235.89581437670608,42.22975432211101,8.319836214740674,518499,92821,18287
3.0.18,236.7506811989101,42.34423251589464,8.354223433242506,521325,93242,18396
3.0.1,235.349765258216,42.02488262910798,8.25962441314554,501295,89513,17593
3.0.2,235.77132146204312,42.10637300843487,8.268978444236176,503136,89855,17646
3.0.3-1,235.9165885660731,42.14386129334583,8.272258669165886,503446,89935,17653
3.0.3,235.91565135895036,42.14339268978444,8.272258669165886,503444,89934,17653
3.0.4,236.4343339587242,42.23780487804878,8.292213883677299,504078,90051,17679
3.0.5-1,236.2861136999068,42.229263746505126,8.288443616029824,507070,90624,17787
3.0.5-2,236.2875116495806,42.229729729729726,8.288443616029824,507073,90625,17787
3.0.5,236.2861136999068,42.229263746505126,8.288443616029824,507070,90624,17787
3.0.6,236.3052190121156,42.229729729729726,8.288909599254428,507111,90625,17788
3.0.7.1-1,236.4627213420317,42.26747437092265,8.292171481826655,507449,90706,17795
3.0.7.1,236.4627213420317,42.26747437092265,8.292171481826655,507449,90706,17795
3.0.7,236.45386766076425,42.26421248835042,8.292171481826655,507430,90699,17795
3.0.8,236.5838769804287,42.30475302889096,8.30102516309413,507709,90786,17814
3.0.9.1,236.67453703703703,42.39861111111111,8.32824074074074,511217,91581,17989
3.0.9.2,236.67453703703703,42.39861111111111,8.32824074074074,511217,91581,17989
3.0.9,236.67407407407407,42.39861111111111,8.32824074074074,511216,91581,17989
4.0.0-dev,233.89097744360905,41.630169172932334,8.216165413533835,497720,88589,17484
4.0-dev,233.89097744360905,41.630169172932334,8.216165413533835,497720,88589,17484
